"@wenny63","It is my sweet life but NOT BY CHOICE! http://t.co/tJ5rIm2QRv"
"@chibbed","RT @Lauza_: This is Paul. Paul wants to study History and Politics. Paul has diabetes."
"@diabetesjlcolin","From ADA Journals:  http://t.co/KAz91lcWTk"
"@TamyRushForever","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@CathyPegau","RT @DianeDooley: Space boots &amp; movies &amp; novels, oh my! See the SFR Brigade bounty in the Brenda Novak Auction for Diabetes Research! http:/"
"@NinaDMarchese","Wow. A person with diabetes in a given year cares for their diabetes for and average of 8760 hours per year.  #Wfw14"
"@PortblPancGrl","RT @jcsamom: Blog post about long-distance carb counting http://t.co/6YkBkDfQL4 #diabetes #t1d #doc #dblog"
"@DianeDooley","Space boots &amp; movies &amp; novels, oh my! See the SFR Brigade bounty in the Brenda Novak Auction for Diabetes Research! http://t.co/ePEYIuPFoq"
"@PortblPancGrl","This year you will be caring for your diabetes 8,760 hours. Your doctor? One. #wfw14"
"@DonnaVore","Walking to work cuts risk of obesity and diabetes. http://t.co/5MzBzhAzlx"
"@PnpntSerenity","Study: 27% reduced risk of #diabetes in persons w/ #heart disease via fish, nuts, fruits, #vegetables  rich diet http://t.co/fU2Dy91gJW"
"@HICLASS","RT @OneTimeForMoet: Cant sugar coat shit youll die from diabetes listening to these other niggas "
"@pinkdrinkhealth","55# Arginine may prevent diabetes #diabetes"
"@remedyguidance","Cure Your Type 2 Diabetes For Good...http://t.co/JGBmdhkusB"
"@OneTimeForMoet","Cant sugar coat shit youll die from diabetes listening to these other niggas "
"@AnthonyKTA","I hope my brother gets diabetes"
"@BandGeekBecca","That cheesecake has diabetes written all over it."
"@WclowerWhitney","RT @KLeonard70: @FultonHSKeyClub joining the fight against juvenile diabetes this morning.  #jdrf  #falconpride http://t.co/HMyZT3D3PK"
"@john_jayson_","Gettin it at Mary Macs Tea Room! By it, I mean diabetes. http://t.co/79BzaH3G4S"
"@PharmaSias","backyard weeds that cure cancer, depression, diabetes, high blood pressure, and more! http://t.co/I5RR8ExMXZ"
"@TadeoBustamant1","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@KevinCraver","Type 2 diabetes has a look? RT @CrainsChicago: ICYMI: Ronald McDonald has a brand new look--#LovinIt or #NotLovinIt: http://t.co/eRTRFAkbtd"
"@DiabeticTalks","Codependency? But! But! They need me and are helpless without me! http://t.co/02Zh7LHkI6 #Diabetes #PWD #Diabetesproblems"
"@RadioFLL","http://t.co/DBkqVHbU5d Im on my way home from a diabetic converntiony thing in Scottsdale. Yes diabetes, as in... http://t.co/JfRscxJWXJ"
"@BlackCuminPower","Black Seeds - A Remedy for All Disease: HIV, Cancer, Diabetes, Hypertension and More: http://t.co/J0DivVMEO5"
